Finland,FIN,1933,3224320
EU-28,,1830,87005344
Bermuda,BMU,2012,476320
Myanmar,MMR,1929,3048448
Norway,NOR,1969,22193766.31
Papua New Guinea,PNG,1974,1586512
Dominican Republic,DOM,1971,3518697.01
South Korea,KOR,1977,105691588.4
Slovenia,SVN,1959,3992183.44
Czechoslovakia,OWID_CZS,1956,107318560
Europe (other),,1944,448191472
Venezuela,VEN,1945,15755200
Belarus,BLR,2003,57112286.62
Seychelles,SYC,1968,7328
Greece,GRC,1961,9808427.02
Norway,NOR,1938,10479040
Tajikistan,TJK,1983,7647665.94
Luxembourg,LUX,1950,7419600
Portugal,PRT,1971,16375699.6
World,OWID_WRL,1790,19177376
Samoa,WSM,1983,113584
Reunion,REU,1963,113584
Norway,NOR,1854,234496
Tanzania,TZA,2006,5878992.64
New Caledonia,NCL,1960,861040
Philippines,PHL,1993,48929190.41
India,IND,1828,0
New Zealand,NZL,1983,17998105.51
Finland,FIN,1995,58141560
Niger,NER,2000,692703.13
United Kingdom,GBR,1859,150011488
United States,USA,1825,1135840
Mozambique,MOZ,1977,2706439.48
Uganda,UGA,1999,1279432.72
Mongolia,MNG,1988,11492800.93
Colombia,COL,1961,18196303.65
Bermuda,BMU,2017,612079.55
Spain,ESP,1868,2660064
Indonesia,IDN,1908,5492336
Turkey,TUR,1949,7969200
Benin,BEN,2000,1573997.31
France,FRA,1877,63925808
Germany,DEU,1801,534944
Germany,DEU,1904,356122480
Comoros,COM,2005,139232
Greece,GRC,1905,278464
Egypt,EGY,1976,34450451.69
Portugal,PRT,1979,24855749.21
Austria,AUT,1825,403040
Indonesia,IDN,1893,403040
Belgium,BEL,1910,61287728
Belize,BLZ,2015,522260.9
Estonia,EST,2000,15362207.36
Kenya,KEN,2010,11745964.63
Suriname,SUR,2001,2363353.38
Czechoslovakia,OWID_CZS,1922,38596576
Mali,MLI,1963,175872
United Arab Emirates,ARE,1971,21166928
Statistical differences,,1819,0
Mali,MLI,1990,419423.28
Saudi Arabia,SAU,1937,25648
Bermuda,BMU,1970,227168
India,IND,1970,194728956
Malawi,MWI,2014,1225360.93
Mexico,MEX,1893,531280
Brazil,BRA,1960,46851820.73
Samoa,WSM,1976,47632
Syria,SYR,2000,50481494.92
Statistical differences,,1825,0
Lebanon,LBN,1955,1623152
Kyrgyzstan,KGZ,2003,5381618.8
Netherlands,NLD,1898,12933920
Austria,AUT,1875,7859280
United States,USA,1949,2159990288
International transport,,1928,0
Argentina,ARG,1983,104978862.3
Maldives,MDV,1998,300448
Trinidad and Tobago,TTO,1992,19104171.66
Serbia,SRB,2014,37189122
Russia,RUS,1988,2535287597
Ethiopia,ETH,2016,12941892.17
Tajikistan,TJK,2016,5579036.68
Faeroe Islands,FRO,1958,117248
Djibouti,DJI,1972,190528
Turkey,TUR,2006,281541718.9
France,FRA,1802,2238704
Asia and Pacific (other),,1885,13992816
Mauritius,MUS,1961,186864
New Caledonia,NCL,1957,1066224
Cuba,CUB,1948,183200
United States,USA,1768,0
Gibraltar,GIB,1982,21984
Senegal,SEN,1980,3336440.93
India,IND,1928,44198832
Kyrgyzstan,KGZ,2017,10433128.45
Ireland,IRL,1939,11530608
Bulgaria,BGR,1942,5349440
Guinea-Bissau,GNB,1967,47632
Mozambique,MOZ,1954,1143168
Namibia,NAM,2008,3323248